Date,home_price_index
1/1/1987,63.735
2/1/1987,64.135
3/1/1987,64.47
4/1/1987,64.973
5/1/1987,65.547
6/1/1987,66.218
7/1/1987,66.786
8/1/1987,67.27
9/1/1987,67.624
10/1/1987,67.903
11/1/1987,68.093
12/1/1987,68.344
1/1/1988,68.583
2/1/1988,68.916
3/1/1988,69.325
4/1/1988,69.789
5/1/1988,70.40899999999999
6/1/1988,71.068
7/1/1988,71.686
8/1/1988,72.185
9/1/1988,72.574
10/1/1988,72.822
11/1/1988,73.065
12/1/1988,73.279
1/1/1989,73.618
2/1/1989,73.968
3/1/1989,74.41
4/1/1989,74.868
5/1/1989,75.296
6/1/1989,75.696
7/1/1989,76.042
8/1/1989,76.273
9/1/1989,76.422
10/1/1989,76.48899999999999
11/1/1989,76.52199999999999
12/1/1989,76.498
1/1/1990,76.527
2/1/1990,76.587
3/1/1990,76.79
4/1/1990,77.038
5/1/1990,77.296
6/1/1990,77.505
7/1/1990,77.561
8/1/1990,77.479
9/1/1990,77.229
10/1/1990,76.91199999999999
11/1/1990,76.381
12/1/1990,75.972
1/1/1991,75.533
2/1/1991,75.249
3/1/1991,75.13600000000001
4/1/1991,75.315
5/1/1991,75.767
6/1/1991,76.253
7/1/1991,76.517
8/1/1991,76.594
9/1/1991,76.575
10/1/1991,76.29
11/1/1991,76.03
12/1/1991,75.843
1/1/1992,75.699
2/1/1992,75.654
3/1/1992,75.812
4/1/1992,76.079
5/1/1992,76.39699999999999
6/1/1992,76.601
7/1/1992,76.71
8/1/1992,76.73
9/1/1992,76.627
10/1/1992,76.597
11/1/1992,76.578
12/1/1992,76.46300000000001
1/1/1993,76.39399999999999
2/1/1993,76.32600000000001
3/1/1993,76.381
4/1/1993,76.65899999999999
5/1/1993,77.029
6/1/1993,77.515
7/1/1993,77.884
8/1/1993,78.13
9/1/1993,78.197
10/1/1993,78.171
11/1/1993,78.169
12/1/1993,78.112
1/1/1994,78.197
2/1/1994,78.203
3/1/1994,78.348
4/1/1994,78.699
5/1/1994,79.207
6/1/1994,79.699
7/1/1994,80.062
8/1/1994,80.315
9/1/1994,80.339
10/1/1994,80.303
11/1/1994,80.169
12/1/1994,80.077
1/1/1995,80.02600000000001
2/1/1995,79.991
3/1/1995,80.07600000000001
4/1/1995,80.368
5/1/1995,80.69
6/1/1995,81.067
7/1/1995,81.411
8/1/1995,81.654
9/1/1995,81.738
10/1/1995,81.726
11/1/1995,81.63
12/1/1995,81.512
1/1/1996,81.426
2/1/1996,81.398
3/1/1996,81.664
4/1/1996,82.12299999999999
5/1/1996,82.601
6/1/1996,83.04700000000001
7/1/1996,83.417
8/1/1996,83.64399999999999
9/1/1996,83.70100000000001
10/1/1996,83.62799999999999
11/1/1996,83.555
12/1/1996,83.48899999999999
1/1/1997,83.529
2/1/1997,83.596
3/1/1997,83.91
4/1/1997,84.319
5/1/1997,84.863
6/1/1997,85.397
7/1/1997,85.84
8/1/1997,86.149
9/1/1997,86.31
10/1/1997,86.40700000000001
11/1/1997,86.631
12/1/1997,86.84700000000001
1/1/1998,87.162
2/1/1998,87.37100000000001
3/1/1998,87.875
4/1/1998,88.556
5/1/1998,89.37299999999999
6/1/1998,90.193
7/1/1998,90.85799999999999
8/1/1998,91.405
9/1/1998,91.75
10/1/1998,91.99799999999999
11/1/1998,92.195
12/1/1998,92.44200000000001
1/1/1999,92.713
2/1/1999,92.979
3/1/1999,93.61
4/1/1999,94.434
5/1/1999,95.359
6/1/1999,96.36200000000001
7/1/1999,97.19
8/1/1999,97.896
9/1/1999,98.398
10/1/1999,98.831
11/1/1999,99.147
12/1/1999,99.542
1/1/2000,100
2/1/2000,100.571
3/1/2000,101.46600000000001
4/1/2000,102.541
5/1/2000,103.70200000000001
6/1/2000,104.855
7/1/2000,105.72200000000001
8/1/2000,106.522
9/1/2000,107.135
10/1/2000,107.728
11/1/2000,108.291
12/1/2000,108.791
1/1/2001,109.214
2/1/2001,109.64200000000001
3/1/2001,110.39399999999999
4/1/2001,111.24799999999999
5/1/2001,112.20299999999999
6/1/2001,113.272
7/1/2001,114.226
8/1/2001,114.98700000000001
9/1/2001,115.465
10/1/2001,115.681
11/1/2001,115.839
12/1/2001,116.056
1/1/2002,116.43700000000001
2/1/2002,116.917
3/1/2002,117.929
4/1/2002,119.209
5/1/2002,120.788
6/1/2002,122.333
7/1/2002,123.68700000000001
8/1/2002,124.729
9/1/2002,125.494
10/1/2002,126.137
11/1/2002,126.64299999999999
12/1/2002,127.15100000000001
1/1/2003,127.652
2/1/2003,128.326
3/1/2003,129.308
4/1/2003,130.488
5/1/2003,131.839
6/1/2003,133.225
7/1/2003,134.64700000000002
8/1/2003,135.966
9/1/2003,137.076
10/1/2003,137.975
11/1/2003,138.765
12/1/2003,139.627
1/1/2004,140.705
2/1/2004,142.029
3/1/2004,144.08
4/1/2004,146.18
5/1/2004,148.335
6/1/2004,150.518
7/1/2004,152.33700000000002
8/1/2004,153.814
9/1/2004,155.108
10/1/2004,156.298
11/1/2004,157.496
12/1/2004,158.67
1/1/2005,160.13
